HDI rank,Country,HDI 1990,HDI 2000,HDI 2010,HDI 2012,HDI 2014,HDI 2015,HDI 2016,HDI 2017,HDI change 2012-2017,Average annual HDI growth (%) 1990-2000,Average annual HDI growth (%) 2000-2010,Average annual HDI growth (%) 2010-2017,Average annual HDI growth (%) 1990-2017
1,Norway,0.850,0.917,0.942,0.942,0.946,0.948,0.951,0.953,0,0.76,0.27,0.17,0.42
2,Switzerland,0.832,0.889,0.932,0.935,0.939,0.942,0.943,0.944,0,0.67,0.47,0.18,0.47
3,Australia,0.866,0.898,0.923,0.929,0.933,0.936,0.938,0.939,0,0.36,0.27,0.24,0.30
4,Ireland,0.763,0.857,0.909,0.902,0.921,0.929,0.934,0.938,13,1.16,0.60,0.45,0.77
5,Germany,0.801,0.868,0.921,0.928,0.930,0.933,0.934,0.936,-1,0.81,0.59,0.24,0.58
6,Iceland,0.802,0.860,0.891,0.909,0.925,0.927,0.933,0.935,5,0.71,0.36,0.68,0.57
7,"Hong Kong, China (SAR)",0.781,0.827,0.901,0.911,0.923,0.927,0.930,0.933,3,0.58,0.87,0.49,0.66
7,Sweden,0.816,0.897,0.905,0.908,0.920,0.929,0.932,0.933,5,0.96,0.09,0.43,0.50
9,Singapore,0.718,0.819,0.909,0.920,0.928,0.929,0.930,0.932,-2,1.33,1.05,0.36,0.97
10,Netherlands,0.829,0.876,0.910,0.921,0.924,0.926,0.928,0.931,-4,0.55,0.39,0.32,0.43
11,Denmark,0.799,0.863,0.910,0.924,0.928,0.926,0.928,0.929,-6,0.77,0.53,0.30,0.56
12,Canada,0.849,0.867,0.902,0.908,0.918,0.920,0.922,0.926,0,0.21,0.39,0.38,0.32
13,United States,0.860,0.885,0.914,0.918,0.918,0.920,0.922,0.924,-5,0.28,0.32,0.16,0.27
14,United Kingdom,0.775,0.867,0.905,0.898,0.919,0.918,0.920,0.922,5,1.13,0.43,0.25,0.64
15,Finland,0.784,0.858,0.903,0.908,0.914,0.915,0.918,0.920,-3,0.90,0.52,0.25,0.59
16,New Zealand,0.818,0.869,0.899,0.905,0.910,0.914,0.915,0.917,-1,0.61,0.35,0.28,0.42
17,Belgium,0.806,0.873,0.903,0.905,0.909,0.913,0.915,0.916,-2,0.80,0.33,0.21,0.47
17,Liechtenstein,..,0.862,0.904,0.913,0.911,0.912,0.915,0.916,-8,..,0.48,0.19,..
19,Japan,0.816,0.855,0.885,0.895,0.903,0.905,0.907,0.909,1,0.48,0.34,0.39,0.40
20,Austria,0.795,0.838,0.895,0.899,0.901,0.903,0.906,0.908,-2,0.53,0.66,0.20,0.49
21,Luxembourg,0.782,0.855,0.889,0.892,0.895,0.899,0.903,0.904,1,0.89,0.39,0.24,0.54
22,Israel,0.792,0.853,0.887,0.893,0.899,0.901,0.902,0.903,-1,0.75,0.39,0.26,0.49
22,Korea (Republic of),0.728,0.817,0.884,0.890,0.896,0.898,0.900,0.903,1,1.17,0.79,0.30,0.80
24,France,0.779,0.849,0.882,0.886,0.894,0.898,0.899,0.901,0,0.86,0.38,0.31,0.54
25,Slovenia,0.767,0.825,0.882,0.877,0.887,0.889,0.894,0.896,0,0.73,0.68,0.23,0.58
26,Spain,0.754,0.825,0.865,0.873,0.880,0.885,0.889,0.891,1,0.90,0.47,0.43,0.62
27,Czechia,0.730,0.796,0.862,0.865,0.879,0.882,0.885,0.888,1,0.86,0.80,0.42,0.72
28,Italy,0.769,0.830,0.870,0.874,0.874,0.876,0.878,0.880,-2,0.76,0.48,0.15,0.50
29,Malta,0.740,0.783,0.843,0.849,0.862,0.871,0.875,0.878,4,0.56,0.74,0.59,0.64
30,Estonia,0.733,0.780,0.845,0.859,0.864,0.866,0.868,0.871,-1,0.63,0.79,0.44,0.64
31,Greece,0.753,0.796,0.856,0.854,0.864,0.866,0.868,0.870,-1,0.56,0.72,0.24,0.54
32,Cyprus,0.732,0.802,0.850,0.852,0.856,0.860,0.867,0.869,-1,0.91,0.59,0.31,0.64
33,Poland,0.712,0.785,0.835,0.836,0.842,0.855,0.860,0.865,5,0.98,0.62,0.50,0.72
34,United Arab Emirates,0.727,0.798,0.836,0.846,0.855,0.860,0.862,0.863,1,0.94,0.47,0.45,0.64
35,Andorra,..,0.759,0.828,0.849,0.853,0.854,0.856,0.858,-2,..,0.88,0.51,..
35,Lithuania,0.732,0.756,0.824,0.831,0.851,0.852,0.855,0.858,5,0.33,0.87,0.58,0.59
37,Qatar,0.754,0.810,0.825,0.844,0.853,0.854,0.855,0.856,-1,0.72,0.19,0.52,0.47
38,Slovakia,0.739,0.764,0.829,0.842,0.845,0.851,0.853,0.855,-1,0.33,0.83,0.44,0.54
39,Brunei Darussalam,0.782,0.819,0.842,0.852,0.853,0.852,0.852,0.853,-8,0.46,0.28,0.19,0.32
39,Saudi Arabia,0.697,0.743,0.808,0.835,0.852,0.854,0.854,0.853,0,0.64,0.84,0.78,0.75
41,Latvia,0.704,0.728,0.816,0.824,0.838,0.841,0.844,0.847,2,0.33,1.15,0.53,0.69
41,Portugal,0.711,0.785,0.822,0.829,0.839,0.842,0.845,0.847,1,0.98,0.46,0.44,0.65
43,Bahrain,0.746,0.792,0.796,0.800,0.810,0.832,0.846,0.846,7,0.60,0.06,0.87,0.47
44,Chile,0.701,0.759,0.808,0.819,0.833,0.840,0.842,0.843,0,0.80,0.62,0.61,0.68
45,Hungary,0.704,0.769,0.823,0.830,0.833,0.834,0.835,0.838,-4,0.89,0.68,0.26,0.65
46,Croatia,0.670,0.750,0.808,0.816,0.824,0.827,0.828,0.831,0,1.14,0.75,0.40,0.80
47,Argentina,0.704,0.771,0.813,0.818,0.820,0.822,0.822,0.825,-2,0.91,0.54,0.20,0.59
48,Oman,..,0.704,0.793,0.804,0.815,0.822,0.822,0.821,0,..,1.19,0.50,..
49,Russian Federation,0.734,0.720,0.780,0.798,0.807,0.813,0.815,0.816,3,-0.18,0.80,0.66,0.40
50,Montenegro,..,..,0.793,0.800,0.805,0.809,0.810,0.814,0,..,..,0.36,..
51,Bulgaria,0.694,0.712,0.779,0.786,0.797,0.807,0.810,0.813,6,0.26,0.90,0.61,0.59
52,Romania,0.701,0.709,0.797,0.795,0.802,0.805,0.807,0.811,2,0.11,1.18,0.25,0.54
53,Belarus,..,0.683,0.792,0.803,0.807,0.805,0.805,0.808,-4,..,1.49,0.29,..
54,Bahamas,..,0.776,0.789,0.807,0.807,0.807,0.806,0.807,-7,..,0.17,0.32,..
55,Uruguay,0.692,0.742,0.773,0.790,0.801,0.800,0.802,0.804,1,0.70,0.40,0.57,0.56
56,Kuwait,0.713,0.786,0.792,0.796,0.799,0.802,0.804,0.803,-3,0.99,0.07,0.20,0.44
57,Malaysia,0.643,0.725,0.772,0.781,0.790,0.795,0.799,0.802,1,1.20,0.63,0.54,0.82
58,Barbados,0.716,0.752,0.782,0.795,0.796,0.797,0.799,0.800,-4,0.49,0.39,0.34,0.41
58,Kazakhstan,0.690,0.685,0.765,0.781,0.793,0.797,0.797,0.800,0,-0.07,1.12,0.64,0.55
60,Iran (Islamic Republic of),0.577,0.670,0.755,0.781,0.788,0.789,0.796,0.798,-2,1.52,1.20,0.79,1.21
60,Palau,..,0.743,0.769,0.778,0.786,0.793,0.798,0.798,1,..,0.34,0.54,..
62,Seychelles,..,0.718,0.747,0.770,0.786,0.791,0.793,0.797,4,..,0.39,0.92,..
63,Costa Rica,0.656,0.711,0.754,0.772,0.780,0.788,0.791,0.794,1,0.81,0.59,0.74,0.71
64,Turkey,0.579,0.655,0.734,0.760,0.778,0.783,0.787,0.791,8,1.26,1.14,1.06,1.16
65,Mauritius,0.619,0.673,0.749,0.767,0.782,0.782,0.788,0.790,3,0.84,1.06,0.78,0.91
66,Panama,0.659,0.719,0.758,0.771,0.781,0.781,0.785,0.789,-1,0.87,0.53,0.58,0.67
67,Serbia,0.718,0.711,0.759,0.768,0.775,0.780,0.785,0.787,0,-0.11,0.66,0.52,0.34
68,Albania,0.645,0.669,0.741,0.767,0.773,0.776,0.782,0.785,0,0.37,1.02,0.83,0.73
69,Trinidad and Tobago,0.672,0.716,0.775,0.774,0.779,0.783,0.785,0.784,-7,0.64,0.80,0.16,0.57
70,Antigua and Barbuda,..,..,0.766,0.765,0.770,0.775,0.778,0.780,1,..,..,0.25,..
70,Georgia,..,0.673,0.735,0.750,0.765,0.771,0.776,0.780,7,..,0.88,0.85,..
72,Saint Kitts and Nevis,..,..,0.745,0.756,0.770,0.773,0.774,0.778,3,..,..,0.62,..
73,Cuba,0.676,0.686,0.779,0.767,0.768,0.772,0.774,0.777,-5,0.15,1.28,-0.03,0.52
74,Mexico,0.650,0.702,0.743,0.757,0.761,0.767,0.772,0.774,-1,0.78,0.57,0.58,0.65
75,Grenada,..,..,0.743,0.749,0.761,0.767,0.770,0.772,3,..,..,0.55,..
76,Sri Lanka,0.625,0.685,0.745,0.757,0.763,0.766,0.768,0.770,-3,0.93,0.84,0.47,0.78
77,Bosnia and Herzegovina,..,0.672,0.713,0.739,0.754,0.755,0.766,0.768,7,..,0.60,1.07,..
78,Venezuela (Bolivarian Republic of),0.634,0.672,0.759,0.774,0.778,0.775,0.766,0.761,-16,0.58,1.22,0.04,0.68
79,Brazil,0.611,0.684,0.727,0.736,0.752,0.757,0.758,0.759,7,1.14,0.60,0.63,0.81
80,Azerbaijan,..,0.640,0.740,0.745,0.758,0.758,0.757,0.757,-1,..,1.47,0.32,..
80,Lebanon,..,..,0.758,0.751,0.751,0.752,0.753,0.757,-4,..,..,-0.03,..
80,The former Yugoslav Republic of Macedonia,..,0.669,0.735,0.740,0.747,0.754,0.756,0.757,2,..,0.94,0.42,..
83,Armenia,0.631,0.647,0.728,0.737,0.745,0.748,0.749,0.755,2,0.26,1.17,0.53,0.67
83,Thailand,0.574,0.649,0.724,0.731,0.735,0.741,0.748,0.755,4,1.24,1.10,0.59,1.02
85,Algeria,0.577,0.644,0.729,0.740,0.747,0.749,0.752,0.754,-3,1.10,1.24,0.49,0.99
86,China,0.502,0.594,0.706,0.722,0.738,0.743,0.748,0.752,7,1.69,1.75,0.90,1.51
86,Ecuador,0.643,0.670,0.715,0.726,0.742,0.743,0.749,0.752,4,0.41,0.66,0.72,0.58
88,Ukraine,0.705,0.671,0.733,0.743,0.748,0.743,0.746,0.751,-8,-0.50,0.88,0.34,0.23
89,Peru,0.611,0.678,0.717,0.729,0.746,0.745,0.748,0.750,0,1.04,0.56,0.64,0.76
90,Colombia,0.592,0.653,0.719,0.725,0.738,0.742,0.747,0.747,2,0.98,0.96,0.55,0.86
90,Saint Lucia,..,0.690,0.731,0.730,0.737,0.744,0.745,0.747,-2,..,0.57,0.32,..
92,Fiji,0.643,0.683,0.711,0.719,0.730,0.738,0.738,0.741,5,0.61,0.40,0.59,0.53
92,Mongolia,0.579,0.589,0.697,0.720,0.734,0.737,0.743,0.741,4,0.17,1.70,0.87,0.92
94,Dominican Republic,0.598,0.657,0.702,0.710,0.718,0.729,0.733,0.736,8,0.94,0.68,0.66,0.77
95,Jordan,0.617,0.702,0.728,0.726,0.730,0.733,0.735,0.735,-5,1.31,0.36,0.14,0.65
95,Tunisia,0.569,0.653,0.716,0.719,0.725,0.728,0.732,0.735,2,1.39,0.91,0.38,0.95
97,Jamaica,0.638,0.662,0.712,0.721,0.728,0.730,0.732,0.732,-3,0.37,0.74,0.40,0.51
98,Tonga,0.648,0.673,0.712,0.717,0.717,0.721,0.724,0.726,2,0.38,0.56,0.28,0.42
99,Saint Vincent and the Grenadines,..,0.673,0.715,0.718,0.720,0.720,0.721,0.723,0,..,0.60,0.15,..
100,Suriname,..,..,0.703,0.711,0.718,0.721,0.719,0.720,1,..,..,0.33,..
101,Botswana,0.581,0.565,0.660,0.683,0.701,0.706,0.712,0.717,8,-0.28,1.57,1.18,0.78
101,Maldives,..,0.606,0.671,0.688,0.705,0.710,0.712,0.717,4,..,1.03,0.96,..
